id,exercise_name,category,equipment,difficulty,target_muscle,calories_per_min,injury_risk_factor
708,Barbell Squat Variation 708,Power,Barbell,Advanced,Arms,10.93,0.559
709,Barbell Crunch Variation 709,Strength,Barbell,Intermediate,Shoulders,8.76,0.787
710,Machine Deadlift Variation 710,Endurance,Machine,Beginner,Shoulders,8.90,0.512
711,Barbell Plank Variation 711,Strength,Barbell,Advanced,Core,4.46,0.773
712,Machine Leg Press Variation 712,Rehab,Machine,Elite,Legs,3.11,0.674
713,Bodyweight Bench Press Variation 713,Core,Bodyweight,Elite,Core,3.31,0.807
714,Dumbbell Overhead Press Variation 714,Core,Dumbbell,Intermediate,Full Body,9.32,0.478
715,Cable Bench Press Variation 715,Rehab,Cable,Intermediate,Back,3.71,0.339
716,Barbell Bench Press Variation 716,Strength,Barbell,Beginner,Core,3.95,0.743
717,Bands Dumbbell Curl Variation 717,Power,Bands,Advanced,Arms,5.67,0.615
718,Kettlebell Cable Fly Variation 718,Strength,Kettlebell,Elite,Core,5.33,0.805
719,Barbell Plank Variation 719,Endurance,Barbell,Elite,Back,7.27,0.182
720,Cable Lat Pulldown Variation 720,Hypertrophy,Cable,Advanced,Core,6.00,0.310
721,Bands Deadlift Variation 721,Endurance,Bands,Advanced,Core,6.32,0.142
722,Bands Lat Pulldown Variation 722,Hypertrophy,Bands,Advanced,Core,8.04,0.767
723,Kettlebell Cable Fly Variation 723,Endurance,Kettlebell,Elite,Core,4.46,0.835
724,Cable Bench Press Variation 724,Rehab,Cable,Elite,Chest,10.48,0.704
725,Bodyweight Leg Press Variation 725,Power,Bodyweight,Advanced,Back,4.65,0.119
726,Dumbbell Pull-up Variation 726,Power,Dumbbell,Intermediate,Back,11.26,0.579
727,Bodyweight Deadlift Variation 727,Power,Bodyweight,Elite,Full Body,9.83,0.609
728,Barbell Barbell Row Variation 728,Power,Barbell,Intermediate,Shoulders,3.65,0.833
729,Bodyweight Lunge Variation 729,Rehab,Bodyweight,Advanced,Core,10.81,0.288
730,Bands Plank Variation 730,Rehab,Bands,Intermediate,Shoulders,10.12,0.343
731,Machine Deadlift Variation 731,Endurance,Machine,Elite,Chest,3.29,0.390
732,Machine Lat Pulldown Variation 732,Core,Machine,Elite,Back,6.01,0.716
733,Kettlebell Tricep Extension Variation 733,Endurance,Kettlebell,Intermediate,Arms,9.90,0.137
734,Bands Tricep Extension Variation 734,Hypertrophy,Bands,Beginner,Legs,3.33,0.262
735,Barbell Overhead Press Variation 735,Power,Barbell,Elite,Legs,7.77,0.312
736,Kettlebell Tricep Extension Variation 736,Endurance,Kettlebell,Advanced,Legs,10.15,0.598
737,Kettlebell Tricep Extension Variation 737,Core,Kettlebell,Advanced,Legs,3.60,0.437
738,Dumbbell Dumbbell Curl Variation 738,Power,Dumbbell,Elite,Shoulders,7.77,0.367
739,Kettlebell Deadlift Variation 739,Endurance,Kettlebell,Advanced,Shoulders,9.35,0.852
740,Cable Calf Raise Variation 740,Hypertrophy,Cable,Intermediate,Arms,4.13,0.301
741,Machine Lat Pulldown Variation 741,Core,Machine,Intermediate,Full Body,5.15,0.572
742,Cable Bench Press Variation 742,Core,Cable,Beginner,Chest,11.51,0.524
743,Barbell Barbell Row Variation 743,Strength,Barbell,Advanced,Arms,11.94,0.425
744,Barbell Squat Variation 744,Rehab,Barbell,Advanced,Shoulders,10.28,0.123
745,Cable Barbell Row Variation 745,Core,Cable,Beginner,Legs,9.44,0.532
746,Bodyweight Barbell Row Variation 746,Rehab,Bodyweight,Intermediate,Shoulders,3.68,0.537
747,Kettlebell Deadlift Variation 747,Endurance,Kettlebell,Beginner,Full Body,7.27,0.820
748,Barbell Cable Fly Variation 748,Core,Barbell,Beginner,Core,11.50,0.608
749,Bodyweight Deadlift Variation 749,Core,Bodyweight,Advanced,Shoulders,6.71,0.690
750,Dumbbell Barbell Row Variation 750,Strength,Dumbbell,Beginner,Chest,7.29,0.836
751,Barbell Lat Pulldown Variation 751,Rehab,Barbell,Elite,Full Body,8.62,0.447
752,Cable Lat Pulldown Variation 752,Core,Cable,Beginner,Core,6.22,0.142
753,Barbell Cable Fly Variation 753,Rehab,Barbell,Elite,Arms,6.01,0.633
754,Machine Lat Pulldown Variation 754,Power,Machine,Intermediate,Chest,5.11,0.265
755,Cable Deadlift Variation 755,Hypertrophy,Cable,Elite,Back,11.46,0.479
756,Bodyweight Squat Variation 756,Hypertrophy,Bodyweight,Advanced,Legs,6.78,0.273
757,Bands Squat Variation 757,Core,Bands,Beginner,Chest,7.37,0.667
758,Bodyweight Dumbbell Curl Variation 758,Rehab,Bodyweight,Beginner,Back,11.13,0.171
759,Dumbbell Barbell Row Variation 759,Strength,Dumbbell,Intermediate,Back,3.80,0.655
760,Kettlebell Cable Fly Variation 760,Rehab,Kettlebell,Beginner,Core,5.91,0.478
761,Kettlebell Tricep Extension Variation 761,Core,Kettlebell,Intermediate,Arms,11.23,0.598
762,Kettlebell Dumbbell Curl Variation 762,Power,Kettlebell,Elite,Arms,7.59,0.713
763,Cable Barbell Row Variation 763,Core,Cable,Intermediate,Legs,9.99,0.505
764,Bands Barbell Row Variation 764,Strength,Bands,Advanced,Shoulders,3.18,0.435
765,Cable Cable Fly Variation 765,Core,Cable,Beginner,Legs,6.93,0.847
766,Machine Cable Fly Variation 766,Strength,Machine,Advanced,Chest,5.57,0.721
767,Bands Lat Pulldown Variation 767,Power,Bands,Elite,Arms,11.37,0.687
768,Cable Lunge Variation 768,Rehab,Cable,Advanced,Arms,6.71,0.466
769,Barbell Plank Variation 769,Hypertrophy,Barbell,Intermediate,Chest,9.03,0.850
770,Bands Squat Variation 770,Endurance,Bands,Intermediate,Shoulders,8.15,0.312
771,Bodyweight Dumbbell Curl Variation 771,Strength,Bodyweight,Intermediate,Full Body,8.73,0.220
772,Cable Overhead Press Variation 772,Rehab,Cable,Elite,Legs,7.07,0.753
773,Dumbbell Crunch Variation 773,Power,Dumbbell,Advanced,Legs,7.42,0.806
774,Cable Bench Press Variation 774,Hypertrophy,Cable,Advanced,Core,7.98,0.248
775,Machine Pull-up Variation 775,Rehab,Machine,Elite,Legs,9.45,0.158
776,Barbell Overhead Press Variation 776,Strength,Barbell,Beginner,Legs,8.51,0.449
777,Bodyweight Lat Pulldown Variation 777,Power,Bodyweight,Advanced,Core,10.59,0.153
778,Cable Leg Press Variation 778,Endurance,Cable,Beginner,Chest,6.34,0.788
779,Dumbbell Barbell Row Variation 779,Endurance,Dumbbell,Advanced,Arms,5.83,0.496
780,Bodyweight Crunch Variation 780,Hypertrophy,Bodyweight,Intermediate,Legs,9.19,0.532
781,Machine Bench Press Variation 781,Hypertrophy,Machine,Intermediate,Core,7.55,0.432
782,Kettlebell Squat Variation 782,Hypertrophy,Kettlebell,Elite,Legs,9.51,0.360
783,Cable Cable Fly Variation 783,Hypertrophy,Cable,Advanced,Legs,10.36,0.762
784,Barbell Tricep Extension Variation 784,Core,Barbell,Intermediate,Full Body,9.10,0.238
785,Bands Tricep Extension Variation 785,Power,Bands,Advanced,Core,5.23,0.282
786,Dumbbell Crunch Variation 786,Rehab,Dumbbell,Intermediate,Back,3.82,0.777
787,Machine Calf Raise Variation 787,Power,Machine,Advanced,Full Body,9.26,0.898
788,Machine Crunch Variation 788,Rehab,Machine,Elite,Legs,3.33,0.455
789,Kettlebell Leg Press Variation 789,Core,Kettlebell,Advanced,Legs,9.95,0.275
790,Kettlebell Bench Press Variation 790,Strength,Kettlebell,Intermediate,Full Body,8.39,0.258
791,Dumbbell Deadlift Variation 791,Strength,Dumbbell,Intermediate,Back,4.05,0.680
792,Bands Overhead Press Variation 792,Power,Bands,Intermediate,Arms,3.14,0.143
793,Cable Deadlift Variation 793,Hypertrophy,Cable,Elite,Core,3.57,0.376
794,Barbell Leg Press Variation 794,Hypertrophy,Barbell,Beginner,Back,4.81,0.645
795,Barbell Crunch Variation 795,Hypertrophy,Barbell,Beginner,Arms,6.06,0.305
796,Kettlebell Bench Press Variation 796,Endurance,Kettlebell,Advanced,Arms,11.40,0.549
797,Machine Lat Pulldown Variation 797,Strength,Machine,Beginner,Core,8.04,0.317
798,Dumbbell Barbell Row Variation 798,Core,Dumbbell,Beginner,Shoulders,7.25,0.105
799,Barbell Pull-up Variation 799,Power,Barbell,Advanced,Back,4.09,0.555
800,Bodyweight Deadlift Variation 800,Hypertrophy,Bodyweight,Elite,Chest,7.38,0.543
801,Cable Plank Variation 801,Hypertrophy,Cable,Advanced,Legs,5.43,0.336
802,Barbell Calf Raise Variation 802,Rehab,Barbell,Intermediate,Core,9.61,0.401
803,Dumbbell Dumbbell Curl Variation 803,Rehab,Dumbbell,Beginner,Full Body,8.40,0.692
804,Barbell Tricep Extension Variation 804,Power,Barbell,Beginner,Chest,4.49,0.574
805,Bodyweight Leg Press Variation 805,Core,Bodyweight,Elite,Arms,6.39,0.610
806,Machine Bench Press Variation 806,Core,Machine,Elite,Core,10.72,0.728
807,Cable Overhead Press Variation 807,Power,Cable,Intermediate,Arms,7.44,0.689
808,Barbell Barbell Row Variation 808,Endurance,Barbell,Beginner,Arms,11.39,0.435
809,Bodyweight Crunch Variation 809,Core,Bodyweight,Intermediate,Full Body,6.11,0.281
810,Bands Squat Variation 810,Rehab,Bands,Elite,Legs,7.84,0.262
811,Cable Squat Variation 811,Endurance,Cable,Intermediate,Legs,3.15,0.638
812,Barbell Overhead Press Variation 812,Strength,Barbell,Beginner,Back,9.70,0.622
813,Cable Bench Press Variation 813,Endurance,Cable,Advanced,Chest,4.73,0.829
814,Machine Plank Variation 814,Rehab,Machine,Beginner,Full Body,9.18,0.613
815,Barbell Dumbbell Curl Variation 815,Endurance,Barbell,Elite,Legs,8.78,0.840
816,Bands Pull-up Variation 816,Hypertrophy,Bands,Intermediate,Core,7.57,0.583
817,Cable Deadlift Variation 817,Power,Cable,Advanced,Core,8.50,0.325
818,Bodyweight Pull-up Variation 818,Endurance,Bodyweight,Elite,Arms,3.39,0.241
819,Kettlebell Overhead Press Variation 819,Power,Kettlebell,Intermediate,Chest,3.93,0.893
820,Barbell Tricep Extension Variation 820,Core,Barbell,Elite,Chest,3.68,0.371
821,Bodyweight Crunch Variation 821,Power,Bodyweight,Intermediate,Arms,3.13,0.186
822,Dumbbell Dumbbell Curl Variation 822,Power,Dumbbell,Beginner,Full Body,7.99,0.237
823,Kettlebell Overhead Press Variation 823,Endurance,Kettlebell,Advanced,Shoulders,6.01,0.716
824,Barbell Pull-up Variation 824,Power,Barbell,Elite,Arms,11.79,0.379
825,Barbell Lunge Variation 825,Hypertrophy,Barbell,Beginner,Shoulders,6.29,0.435
826,Bodyweight Pull-up Variation 826,Rehab,Bodyweight,Elite,Chest,9.79,0.128
827,Dumbbell Crunch Variation 827,Strength,Dumbbell,Elite,Full Body,9.88,0.547
828,Cable Lunge Variation 828,Endurance,Cable,Advanced,Core,10.13,0.797
829,Machine Crunch Variation 829,Core,Machine,Advanced,Legs,4.36,0.628
830,Barbell Bench Press Variation 830,Endurance,Barbell,Advanced,Shoulders,11.36,0.393
831,Dumbbell Pull-up Variation 831,Hypertrophy,Dumbbell,Advanced,Full Body,5.34,0.448
832,Cable Crunch Variation 832,Endurance,Cable,Beginner,Core,11.93,0.831
833,Bodyweight Cable Fly Variation 833,Endurance,Bodyweight,Advanced,Core,5.09,0.538
834,Barbell Lat Pulldown Variation 834,Core,Barbell,Advanced,Shoulders,4.12,0.376
835,Barbell Leg Press Variation 835,Hypertrophy,Barbell,Advanced,Full Body,9.88,0.289
836,Bodyweight Barbell Row Variation 836,Endurance,Bodyweight,Beginner,Back,5.04,0.889
837,Barbell Bench Press Variation 837,Strength,Barbell,Advanced,Arms,7.43,0.485
838,Barbell Crunch Variation 838,Rehab,Barbell,Intermediate,Legs,3.16,0.299
839,Cable Calf Raise Variation 839,Rehab,Cable,Intermediate,Shoulders,11.06,0.638
840,Dumbbell Barbell Row Variation 840,Strength,Dumbbell,Beginner,Legs,7.44,0.171
841,Bodyweight Overhead Press Variation 841,Hypertrophy,Bodyweight,Beginner,Core,8.92,0.632
842,Kettlebell Lunge Variation 842,Endurance,Kettlebell,Advanced,Chest,8.13,0.557
843,Dumbbell Tricep Extension Variation 843,Hypertrophy,Dumbbell,Advanced,Full Body,6.05,0.199
844,Kettlebell Lat Pulldown Variation 844,Hypertrophy,Kettlebell,Advanced,Back,7.24,0.384
845,Cable Dumbbell Curl Variation 845,Power,Cable,Advanced,Core,9.00,0.892
846,Machine Plank Variation 846,Rehab,Machine,Intermediate,Arms,11.49,0.275
847,Dumbbell Calf Raise Variation 847,Rehab,Dumbbell,Beginner,Full Body,3.98,0.882
848,Barbell Lat Pulldown Variation 848,Hypertrophy,Barbell,Advanced,Chest,7.51,0.734
849,Cable Deadlift Variation 849,Hypertrophy,Cable,Advanced,Full Body,5.22,0.868
850,Dumbbell Dumbbell Curl Variation 850,Hypertrophy,Dumbbell,Elite,Full Body,11.20,0.672
851,Dumbbell Deadlift Variation 851,Strength,Dumbbell,Intermediate,Full Body,11.76,0.567
852,Barbell Cable Fly Variation 852,Rehab,Barbell,Elite,Shoulders,4.67,0.317
853,Dumbbell Plank Variation 853,Core,Dumbbell,Beginner,Arms,4.23,0.728
854,Bodyweight Lat Pulldown Variation 854,Endurance,Bodyweight,Advanced,Shoulders,5.61,0.112
855,Machine Lat Pulldown Variation 855,Core,Machine,Elite,Arms,7.20,0.495
856,Barbell Crunch Variation 856,Rehab,Barbell,Advanced,Chest,10.01,0.118
857,Cable Cable Fly Variation 857,Power,Cable,Intermediate,Chest,4.19,0.567
858,Bands Dumbbell Curl Variation 858,Endurance,Bands,Beginner,Core,3.48,0.124
859,Barbell Deadlift Variation 859,Hypertrophy,Barbell,Advanced,Legs,7.23,0.640
860,Cable Calf Raise Variation 860,Core,Cable,Elite,Back,11.41,0.114
861,Bands Bench Press Variation 861,Strength,Bands,Elite,Back,7.30,0.108
862,Bodyweight Crunch Variation 862,Strength,Bodyweight,Advanced,Arms,10.22,0.196
863,Kettlebell Plank Variation 863,Strength,Kettlebell,Intermediate,Arms,10.79,0.547
864,Bodyweight Leg Press Variation 864,Strength,Bodyweight,Intermediate,Core,7.16,0.894
865,Cable Lat Pulldown Variation 865,Hypertrophy,Cable,Intermediate,Shoulders,7.13,0.164
866,Machine Cable Fly Variation 866,Endurance,Machine,Intermediate,Full Body,11.41,0.533
867,Barbell Lat Pulldown Variation 867,Endurance,Barbell,Beginner,Chest,11.45,0.669
868,Cable Leg Press Variation 868,Strength,Cable,Intermediate,Back,3.71,0.290
869,Machine Overhead Press Variation 869,Power,Machine,Elite,Full Body,7.19,0.713
870,Bands Lunge Variation 870,Endurance,Bands,Elite,Shoulders,4.83,0.240
871,Cable Plank Variation 871,Hypertrophy,Cable,Advanced,Arms,4.38,0.455
872,Bodyweight Calf Raise Variation 872,Core,Bodyweight,Advanced,Full Body,6.05,0.128
873,Dumbbell Overhead Press Variation 873,Rehab,Dumbbell,Intermediate,Core,10.79,0.161
874,Kettlebell Pull-up Variation 874,Power,Kettlebell,Elite,Full Body,9.44,0.847
875,Bands Crunch Variation 875,Power,Bands,Beginner,Chest,11.85,0.827
876,Barbell Barbell Row Variation 876,Core,Barbell,Advanced,Shoulders,10.72,0.663
877,Cable Tricep Extension Variation 877,Endurance,Cable,Beginner,Chest,7.89,0.639
878,Dumbbell Leg Press Variation 878,Rehab,Dumbbell,Elite,Chest,5.50,0.331
879,Machine Lunge Variation 879,Hypertrophy,Machine,Elite,Legs,3.96,0.306
880,Bodyweight Tricep Extension Variation 880,Core,Bodyweight,Beginner,Full Body,4.80,0.244
881,Cable Cable Fly Variation 881,Strength,Cable,Beginner,Shoulders,6.29,0.728
882,Dumbbell Calf Raise Variation 882,Power,Dumbbell,Intermediate,Full Body,3.47,0.618
883,Bands Lat Pulldown Variation 883,Hypertrophy,Bands,Elite,Arms,7.53,0.773
884,Kettlebell Bench Press Variation 884,Strength,Kettlebell,Intermediate,Core,9.00,0.723
885,Kettlebell Lat Pulldown Variation 885,Rehab,Kettlebell,Advanced,Arms,5.55,0.790
886,Machine Tricep Extension Variation 886,Hypertrophy,Machine,Intermediate,Back,10.34,0.490
887,Machine Deadlift Variation 887,Hypertrophy,Machine,Elite,Full Body,5.60,0.296
888,Kettlebell Cable Fly Variation 888,Hypertrophy,Kettlebell,Beginner,Arms,10.38,0.800
889,Bands Crunch Variation 889,Strength,Bands,Advanced,Arms,5.08,0.723
890,Dumbbell Deadlift Variation 890,Rehab,Dumbbell,Elite,Core,4.65,0.702
891,Kettlebell Tricep Extension Variation 891,Power,Kettlebell,Elite,Full Body,10.23,0.428
892,Kettlebell Tricep Extension Variation 892,Strength,Kettlebell,Advanced,Chest,6.35,0.644
893,Machine Tricep Extension Variation 893,Core,Machine,Advanced,Chest,3.30,0.510
894,Barbell Barbell Row Variation 894,Power,Barbell,Elite,Chest,5.96,0.207
895,Cable Cable Fly Variation 895,Strength,Cable,Beginner,Shoulders,8.10,0.335
896,Dumbbell Barbell Row Variation 896,Power,Dumbbell,Elite,Legs,5.84,0.833
897,Dumbbell Crunch Variation 897,Strength,Dumbbell,Advanced,Back,5.46,0.200
898,Kettlebell Crunch Variation 898,Endurance,Kettlebell,Beginner,Shoulders,3.69,0.103
899,Cable Overhead Press Variation 899,Endurance,Cable,Intermediate,Back,10.26,0.397
900,Dumbbell Deadlift Variation 900,Endurance,Dumbbell,Beginner,Shoulders,8.71,0.716
901,Machine Crunch Variation 901,Rehab,Machine,Elite,Legs,3.02,0.494
902,Dumbbell Tricep Extension Variation 902,Core,Dumbbell,Advanced,Legs,9.24,0.722
903,Bands Bench Press Variation 903,Endurance,Bands,Beginner,Full Body,3.15,0.606
904,Dumbbell Crunch Variation 904,Core,Dumbbell,Elite,Core,10.72,0.320
905,Machine Lat Pulldown Variation 905,Endurance,Machine,Advanced,Full Body,7.97,0.588
906,Cable Deadlift Variation 906,Hypertrophy,Cable,Intermediate,Shoulders,5.68,0.398
907,Bodyweight Overhead Press Variation 907,Rehab,Bodyweight,Advanced,Chest,5.87,0.754
908,Machine Barbell Row Variation 908,Power,Machine,Advanced,Legs,10.39,0.767
909,Machine Deadlift Variation 909,Endurance,Machine,Advanced,Chest,3.63,0.740
910,Barbell Crunch Variation 910,Endurance,Barbell,Elite,Chest,3.65,0.450
911,Bodyweight Squat Variation 911,Strength,Bodyweight,Elite,Chest,11.80,0.747
912,Kettlebell Deadlift Variation 912,Endurance,Kettlebell,Advanced,Chest,8.02,0.113
913,Bands Leg Press Variation 913,Core,Bands,Elite,Arms,6.82,0.323
914,Bands Calf Raise Variation 914,Strength,Bands,Elite,Arms,3.31,0.594
915,Kettlebell Leg Press Variation 915,Rehab,Kettlebell,Elite,Full Body,10.83,0.443
916,Dumbbell Leg Press Variation 916,Endurance,Dumbbell,Advanced,Shoulders,6.45,0.261
917,Dumbbell Pull-up Variation 917,Core,Dumbbell,Beginner,Shoulders,3.53,0.837
918,Bodyweight Tricep Extension Variation 918,Strength,Bodyweight,Intermediate,Back,11.30,0.548
919,Barbell Cable Fly Variation 919,Hypertrophy,Barbell,Beginner,Arms,5.88,0.359
920,Cable Crunch Variation 920,Core,Cable,Elite,Chest,9.68,0.327
921,Bands Dumbbell Curl Variation 921,Core,Bands,Elite,Core,10.93,0.117
922,Machine Lat Pulldown Variation 922,Core,Machine,Intermediate,Full Body,3.68,0.345
923,Barbell Deadlift Variation 923,Core,Barbell,Advanced,Shoulders,3.63,0.504
924,Machine Dumbbell Curl Variation 924,Power,Machine,Intermediate,Back,11.93,0.632
925,Bands Cable Fly Variation 925,Hypertrophy,Bands,Elite,Back,3.21,0.754
926,Bodyweight Plank Variation 926,Strength,Bodyweight,Elite,Legs,9.73,0.445
927,Kettlebell Dumbbell Curl Variation 927,Core,Kettlebell,Beginner,Core,7.02,0.383
928,Dumbbell Cable Fly Variation 928,Power,Dumbbell,Beginner,Shoulders,10.20,0.247
929,Bodyweight Cable Fly Variation 929,Endurance,Bodyweight,Beginner,Chest,3.49,0.668
930,Barbell Cable Fly Variation 930,Hypertrophy,Barbell,Intermediate,Shoulders,10.35,0.535
931,Dumbbell Tricep Extension Variation 931,Strength,Dumbbell,Beginner,Shoulders,4.16,0.671
932,Bands Pull-up Variation 932,Core,Bands,Elite,Chest,10.43,0.475
933,Kettlebell Overhead Press Variation 933,Power,Kettlebell,Beginner,Legs,11.59,0.357
934,Dumbbell Calf Raise Variation 934,Power,Dumbbell,Intermediate,Chest,7.71,0.582
935,Dumbbell Calf Raise Variation 935,Hypertrophy,Dumbbell,Advanced,Shoulders,8.47,0.263
936,Dumbbell Pull-up Variation 936,Endurance,Dumbbell,Elite,Full Body,11.51,0.408
937,Bands Lat Pulldown Variation 937,Hypertrophy,Bands,Intermediate,Chest,10.26,0.568
938,Bands Tricep Extension Variation 938,Hypertrophy,Bands,Elite,Full Body,3.54,0.111
939,Barbell Pull-up Variation 939,Endurance,Barbell,Beginner,Arms,6.89,0.537
940,Dumbbell Deadlift Variation 940,Core,Dumbbell,Advanced,Chest,8.34,0.418
941,Machine Lunge Variation 941,Hypertrophy,Machine,Elite,Shoulders,11.72,0.623
942,Dumbbell Lat Pulldown Variation 942,Strength,Dumbbell,Elite,Full Body,6.55,0.886
943,Bodyweight Deadlift Variation 943,Power,Bodyweight,Beginner,Arms,9.05,0.690
944,Cable Overhead Press Variation 944,Hypertrophy,Cable,Advanced,Legs,7.87,0.423
945,Cable Cable Fly Variation 945,Endurance,Cable,Beginner,Back,8.51,0.747
946,Kettlebell Leg Press Variation 946,Endurance,Kettlebell,Elite,Legs,6.94,0.801
947,Barbell Cable Fly Variation 947,Hypertrophy,Barbell,Advanced,Legs,6.33,0.369
948,Machine Leg Press Variation 948,Power,Machine,Intermediate,Arms,6.11,0.358
949,Bands Plank Variation 949,Rehab,Bands,Intermediate,Chest,9.00,0.275
950,Barbell Barbell Row Variation 950,Strength,Barbell,Elite,Core,11.82,0.505
951,Dumbbell Bench Press Variation 951,Core,Dumbbell,Advanced,Back,8.06,0.114
952,Kettlebell Lat Pulldown Variation 952,Power,Kettlebell,Advanced,Full Body,9.13,0.787
953,Cable Cable Fly Variation 953,Hypertrophy,Cable,Advanced,Back,10.81,0.484
954,Cable Lunge Variation 954,Hypertrophy,Cable,Elite,Core,3.16,0.730
955,Kettlebell Tricep Extension Variation 955,Strength,Kettlebell,Advanced,Arms,11.99,0.180
956,Cable Pull-up Variation 956,Core,Cable,Beginner,Full Body,3.54,0.682
957,Bands Bench Press Variation 957,Core,Bands,Beginner,Chest,3.85,0.371
958,Bodyweight Lunge Variation 958,Core,Bodyweight,Advanced,Shoulders,7.86,0.224
959,Bodyweight Deadlift Variation 959,Endurance,Bodyweight,Beginner,Back,4.79,0.746
960,Bands Lat Pulldown Variation 960,Strength,Bands,Advanced,Legs,6.97,0.793
961,Bodyweight Squat Variation 961,Hypertrophy,Bodyweight,Advanced,Chest,8.72,0.723
962,Bodyweight Dumbbell Curl Variation 962,Endurance,Bodyweight,Advanced,Full Body,6.65,0.783
963,Bands Deadlift Variation 963,Strength,Bands,Elite,Shoulders,11.54,0.283
964,Bodyweight Dumbbell Curl Variation 964,Endurance,Bodyweight,Elite,Chest,6.14,0.426
965,Kettlebell Barbell Row Variation 965,Strength,Kettlebell,Intermediate,Legs,6.82,0.192
966,Bands Calf Raise Variation 966,Strength,Bands,Beginner,Core,10.18,0.372
967,Bodyweight Tricep Extension Variation 967,Rehab,Bodyweight,Intermediate,Shoulders,9.10,0.286
968,Bodyweight Cable Fly Variation 968,Endurance,Bodyweight,Beginner,Chest,4.91,0.780
969,Bands Cable Fly Variation 969,Strength,Bands,Advanced,Core,5.18,0.527
970,Kettlebell Pull-up Variation 970,Strength,Kettlebell,Elite,Arms,7.83,0.880
971,Cable Lunge Variation 971,Strength,Cable,Beginner,Full Body,10.56,0.341
972,Bands Crunch Variation 972,Endurance,Bands,Beginner,Back,5.38,0.565
973,Machine Calf Raise Variation 973,Strength,Machine,Beginner,Chest,7.27,0.652
974,Bands Lat Pulldown Variation 974,Strength,Bands,Advanced,Full Body,10.87,0.862
975,Barbell Crunch Variation 975,Strength,Barbell,Elite,Full Body,11.90,0.639
976,Dumbbell Overhead Press Variation 976,Core,Dumbbell,Intermediate,Chest,4.96,0.356
977,Cable Calf Raise Variation 977,Strength,Cable,Intermediate,Core,8.66,0.652
978,Machine Calf Raise Variation 978,Core,Machine,Advanced,Back,3.78,0.698
979,Dumbbell Lat Pulldown Variation 979,Core,Dumbbell,Elite,Arms,10.34,0.373
980,Bodyweight Calf Raise Variation 980,Power,Bodyweight,Beginner,Full Body,11.18,0.508
981,Cable Plank Variation 981,Strength,Cable,Advanced,Core,11.83,0.136
982,Kettlebell Lunge Variation 982,Hypertrophy,Kettlebell,Elite,Shoulders,8.81,0.537
983,Bodyweight Cable Fly Variation 983,Core,Bodyweight,Beginner,Arms,4.57,0.536
984,Cable Bench Press Variation 984,Strength,Cable,Intermediate,Back,10.36,0.308
985,Bodyweight Crunch Variation 985,Rehab,Bodyweight,Elite,Chest,4.27,0.407
986,Machine Lat Pulldown Variation 986,Hypertrophy,Machine,Intermediate,Back,11.49,0.178
987,Cable Deadlift Variation 987,Strength,Cable,Elite,Legs,9.49,0.104
988,Kettlebell Lunge Variation 988,Core,Kettlebell,Beginner,Back,10.84,0.195
989,Dumbbell Deadlift Variation 989,Core,Dumbbell,Intermediate,Back,9.47,0.808
990,Machine Cable Fly Variation 990,Hypertrophy,Machine,Beginner,Shoulders,6.09,0.388
991,Cable Squat Variation 991,Strength,Cable,Intermediate,Arms,7.79,0.601
992,Barbell Squat Variation 992,Hypertrophy,Barbell,Advanced,Arms,7.00,0.397
993,Bands Bench Press Variation 993,Rehab,Bands,Elite,Chest,10.82,0.132
994,Cable Pull-up Variation 994,Core,Cable,Elite,Full Body,7.14,0.629
995,Cable Dumbbell Curl Variation 995,Rehab,Cable,Intermediate,Shoulders,11.12,0.154
996,Dumbbell Pull-up Variation 996,Hypertrophy,Dumbbell,Elite,Shoulders,7.65,0.126
997,Barbell Barbell Row Variation 997,Power,Barbell,Advanced,Chest,7.49,0.676
998,Bands Overhead Press Variation 998,Hypertrophy,Bands,Intermediate,Chest,6.81,0.775
999,Barbell Dumbbell Curl Variation 999,Strength,Barbell,Beginner,Chest,7.95,0.401
1000,Bands Dumbbell Curl Variation 1000,Hypertrophy,Bands,Intermediate,Back,6.62,0.517
1001,Bodyweight Tricep Extension Variation 1001,Core,Bodyweight,Elite,Back,9.37,0.700
1002,Cable Tricep Extension Variation 1002,Core,Cable,Beginner,Back,10.68,0.523
1003,Bodyweight Deadlift Variation 1003,Hypertrophy,Bodyweight,Elite,Chest,11.04,0.757
1004,Machine Overhead Press Variation 1004,Endurance,Machine,Elite,Full Body,8.81,0.658
1005,Cable Overhead Press Variation 1005,Hypertrophy,Cable,Beginner,Legs,8.50,0.781
1006,Kettlebell Plank Variation 1006,Power,Kettlebell,Elite,Chest,11.49,0.718
1007,Bands Bench Press Variation 1007,Core,Bands,Beginner,Chest,11.92,0.310
1008,Cable Bench Press Variation 1008,Power,Cable,Beginner,Chest,6.41,0.270
1009,Cable Barbell Row Variation 1009,Rehab,Cable,Intermediate,Legs,8.86,0.666
1010,Bodyweight Plank Variation 1010,Hypertrophy,Bodyweight,Advanced,Arms,3.14,0.223
1011,Dumbbell Deadlift Variation 1011,Hypertrophy,Dumbbell,Intermediate,Legs,6.08,0.889
1012,Machine Lunge Variation 1012,Core,Machine,Elite,Back,4.98,0.579
1013,Cable Pull-up Variation 1013,Rehab,Cable,Advanced,Back,10.43,0.443
1014,Kettlebell Deadlift Variation 1014,Strength,Kettlebell,Elite,Shoulders,5.68,0.192
